age,height_cm,weight_kg,bmi,fitness_goal
20,167,51.7,18.54,Maintain
28,160,67.6,26.4,Weight Loss
24,181,59.2,18.07,Muscle Gain
31,171,90.4,30.9,Weight Loss
56,167,67.7,24.27,Maintain
37,151,68.6,30.09,Weight Loss
26,163,80.8,30.43,Weight Loss
52,181,73.5,22.43,Maintain
58,171,75.9,25.95,Weight Loss
55,188,101.6,28.75,Weight Loss
18,180,54.0,16.67,Muscle Gain
39,182,62.8,18.95,Maintain
43,169,48.1,16.84,Muscle Gain
31,183,57.2,17.09,Muscle Gain
28,177,98.2,31.34,Weight Loss
41,170,64.8,22.41,Maintain
57,167,62.3,22.33,Maintain
33,151,51.3,22.51,Maintain
34,186,66.7,19.29,Maintain
21,150,37.8,16.78,Muscle Gain
28,178,84.3,26.6,Weight Loss
60,170,83.5,28.89,Weight Loss
34,164,49.8,18.52,Maintain
59,162,51.0,19.45,Maintain
33,156,39.6,16.27,Muscle Gain
34,185,106.5,31.11,Weight Loss
23,185,83.7,24.45,Maintain
53,182,89.2,26.92,Weight Loss
26,164,44.6,16.59,Muscle Gain
36,177,80.0,25.53,Weight Loss
24,157,51.1,20.72,Maintain
21,186,104.4,30.19,Weight Loss
48,158,61.8,24.75,Maintain
24,151,40.2,17.61,Muscle Gain
27,152,65.7,28.43,Weight Loss
57,160,66.4,25.94,Weight Loss
22,172,81.4,27.52,Weight Loss
46,156,75.6,31.07,Weight Loss
21,155,59.1,24.58,Maintain
43,168,59.3,21.01,Maintain
26,184,76.4,22.57,Maintain
29,154,72.2,30.45,Weight Loss
40,173,80.1,26.75,Weight Loss
37,180,83.1,25.65,Weight Loss
20,153,62.5,26.7,Weight Loss
29,182,53.6,16.18,Muscle Gain
41,167,57.6,20.65,Maintain
42,172,51.5,17.4,Muscle Gain
47,190,72.1,19.98,Maintain
25,158,73.7,29.51,Weight Loss
25,167,44.8,16.07,Muscle Gain
21,150,61.0,27.1,Weight Loss
29,176,68.0,21.94,Maintain
30,189,106.8,29.91,Weight Loss
41,183,82.3,24.59,Maintain
50,179,57.9,18.06,Muscle Gain
59,162,52.4,19.95,Maintain
59,170,75.5,26.12,Weight Loss
36,176,52.5,16.95,Muscle Gain
35,181,76.8,23.44,Maintain
46,155,52.9,22.03,Maintain
21,189,99.7,27.91,Weight Loss
32,188,102.0,28.87,Weight Loss
19,188,72.4,20.48,Maintain
50,166,45.4,16.49,Muscle Gain
21,187,99.2,28.38,Weight Loss
47,178,73.6,23.24,Maintain
47,190,73.5,20.35,Maintain
39,181,65.3,19.94,Maintain
38,173,84.5,28.23,Weight Loss
28,164,46.6,17.34,Muscle Gain
57,163,68.6,25.81,Weight Loss
55,169,58.4,20.43,Maintain
51,159,58.7,23.21,Maintain
19,166,50.1,18.18,Muscle Gain
28,172,57.6,19.47,Maintain
37,162,51.4,19.58,Maintain
56,176,71.8,23.18,Maintain
30,152,71.5,30.95,Weight Loss
49,184,103.5,30.58,Weight Loss
45,161,66.7,25.75,Weight Loss
25,154,41.1,17.32,Muscle Gain
25,166,62.0,22.49,Maintain
56,159,73.3,28.99,Weight Loss
44,170,50.0,17.29,Muscle Gain
21,182,86.4,26.09,Weight Loss
19,163,83.7,31.52,Weight Loss
57,188,68.5,19.38,Maintain
45,188,86.0,24.34,Maintain
33,172,67.2,22.72,Maintain
38,156,43.1,17.71,Muscle Gain
59,171,49.1,16.79,Muscle Gain
55,167,78.3,28.07,Weight Loss
47,162,43.8,16.69,Muscle Gain
40,169,90.2,31.59,Weight Loss
58,188,62.6,17.71,Muscle Gain
46,168,81.1,28.74,Weight Loss
18,154,70.7,29.81,Weight Loss
28,187,60.8,17.39,Muscle Gain
32,186,68.2,19.71,Maintain
38,184,62.9,18.57,Maintain
42,175,86.5,28.25,Weight Loss
49,187,84.2,24.07,Maintain
20,180,55.5,17.13,Muscle Gain
34,182,58.2,17.56,Muscle Gain
54,189,87.7,24.54,Maintain
52,170,77.9,26.97,Weight Loss
25,175,70.0,22.86,Maintain
33,173,78.7,26.29,Weight Loss
26,183,78.3,23.39,Maintain
23,171,75.3,25.75,Weight Loss
20,155,56.1,23.35,Maintain
43,162,79.2,30.17,Weight Loss
50,169,47.6,16.66,Muscle Gain
50,150,60.5,26.88,Weight Loss
38,156,51.8,21.29,Maintain
51,151,41.7,18.31,Muscle Gain
59,184,58.6,17.31,Muscle Gain
50,152,72.1,31.2,Weight Loss
26,175,63.0,20.57,Maintain
23,151,40.8,17.89,Muscle Gain
41,157,66.9,27.15,Weight Loss
51,168,84.3,29.87,Weight Loss
51,175,82.6,26.96,Weight Loss
34,179,61.3,19.12,Maintain
42,178,73.9,23.33,Maintain
57,167,83.8,30.04,Weight Loss
41,184,84.0,24.8,Maintain
50,158,59.8,23.97,Maintain
30,161,77.6,29.93,Weight Loss
35,173,72.0,24.06,Maintain
56,150,40.9,18.16,Muscle Gain
51,174,51.6,17.04,Muscle Gain
23,179,100.1,31.25,Weight Loss
58,180,59.2,18.28,Muscle Gain
18,160,79.1,30.91,Weight Loss
25,177,71.9,22.94,Maintain
47,174,52.7,17.4,Muscle Gain
18,150,39.3,17.47,Muscle Gain
27,183,54.3,16.21,Muscle Gain
27,180,54.9,16.95,Muscle Gain
29,184,54.3,16.05,Muscle Gain
25,160,50.2,19.61,Maintain
48,179,57.3,17.89,Muscle Gain
26,189,95.7,26.78,Weight Loss
20,186,58.5,16.92,Muscle Gain
39,158,46.3,18.53,Maintain
19,185,101.1,29.54,Weight Loss
19,183,58.6,17.49,Muscle Gain
49,154,38.3,16.14,Muscle Gain
49,155,41.8,17.4,Muscle Gain
23,172,79.0,26.71,Weight Loss
19,167,59.5,21.35,Maintain
39,169,70.0,24.5,Maintain
40,186,91.3,26.38,Weight Loss
22,190,69.6,19.27,Maintain
38,182,58.6,17.7,Muscle Gain
59,188,85.2,24.11,Maintain
58,165,43.8,16.1,Muscle Gain
26,165,83.3,30.6,Weight Loss
19,181,94.5,28.86,Weight Loss
39,178,72.0,22.74,Maintain
47,165,50.8,18.66,Maintain
39,185,91.3,26.69,Weight Loss
18,174,68.5,22.63,Maintain
44,166,70.5,25.6,Weight Loss
32,168,65.3,23.13,Maintain
40,190,61.8,17.13,Muscle Gain
32,186,87.4,25.27,Weight Loss
55,176,73.2,23.63,Maintain
20,189,97.5,27.29,Weight Loss
34,186,93.6,27.06,Weight Loss
39,180,72.2,22.27,Maintain
52,154,64.8,27.33,Weight Loss
44,179,54.7,17.06,Muscle Gain
48,186,99.2,28.66,Weight Loss
18,174,83.1,27.44,Weight Loss
44,157,76.4,31.01,Weight Loss
30,179,58.3,18.21,Muscle Gain
58,181,78.5,23.97,Maintain
22,168,48.7,17.26,Muscle Gain
23,182,87.1,26.31,Weight Loss
26,190,65.0,18.0,Muscle Gain
26,157,57.3,23.26,Maintain
58,159,75.4,29.82,Weight Loss
28,181,101.0,30.83,Weight Loss
56,174,52.3,17.26,Muscle Gain
18,183,74.9,22.38,Maintain
39,185,80.5,23.51,Maintain
28,183,54.3,16.22,Muscle Gain
19,185,55.5,16.22,Muscle Gain
49,173,86.1,28.78,Weight Loss
41,156,58.1,23.86,Maintain
47,176,50.7,16.37,Muscle Gain
32,182,57.2,17.26,Muscle Gain
48,189,79.0,22.12,Maintain
28,158,47.9,19.2,Maintain
52,190,112.2,31.08,Weight Loss
42,171,60.5,20.68,Maintain
56,152,66.2,28.65,Weight Loss
44,175,89.4,29.18,Weight Loss
41,183,94.5,28.22,Weight Loss
19,151,44.6,19.58,Maintain
41,188,70.9,20.06,Maintain
35,180,60.4,18.65,Maintain
34,153,56.9,24.31,Maintain
31,172,80.7,27.27,Weight Loss
29,187,76.0,21.74,Maintain
19,176,57.7,18.63,Maintain
58,175,53.9,17.59,Muscle Gain
